t,ndyag,d01,d02,d03,d04,d05,d06,d07,d08,d09
-1.2e-07,0.006672724,-0.11067194,-0.11067194,-0.21627964,-0.11067194,0.047430828,-0.11067194,-0.26877472,-0.163167,-0.26877472
-1.19399699849925e-07,0.031573945,-0.11067194,-0.058176879,-0.11067194,-0.058176879,0.047430828,-0.058176879,0.15303853,-0.058176879,0.047430828
-1.1879939969985e-07,0.031573945,-0.0050642295,-0.163167,0.047430828,-0.058176879,0.047430828,-0.0050642295,-0.0050642295,-0.058176879,-0.0050642295
-1.18199099549775e-07,0.031573945,-0.058176879,-0.0050642295,0.047430828,0.20553359,0.099925891,-0.163167,-0.0050642295,-0.163167,-0.0050642295
-1.175987993997e-07,0.014940688,-0.0050642295,0.047430828,-0.058176879,-0.058176879,-0.11067194,0.099925891,-0.058176879,-0.058176879,-0.058176879
-1.16998499249625e-07,0.014940688,-0.11067194,-0.058176879,0.099925891,-0.11067194,-0.11067194,-0.0050642295,-0.058176879,-0.0050642295,-0.11067194
-1.1639819909955e-07,0.023208726,-0.0050642295,-0.058176879,-0.0050642295,-0.163167,-0.163167,-0.11067194,-0.0050642295,-0.0050642295,-0.058176879
-1.15797898949475e-07,0.014940688,0.047430828,0.099925891,-0.11067194,0.047430828,-0.0050642295,0.047430828,0.15303853,-0.11067194,-0.058176879
-1.151975987994e-07,0.014940688,-0.058176879,-0.11067194,-0.11067194,0.099925891,-0.11067194,-0.21627964,0.047430828,-0.163167,-0.26877472
-1.14597298649325e-07,0.014940688,-0.11067194,-0.058176879,0.047430828,0.099925891,0.15303853,-0.058176879,0.099925891,-0.058176879,-0.0050642295
-1.1399699849925e-07,0.023208726,0.047430828,-0.11067194,-0.058176879,-0.0050642295,0.047430828,0.099925891,0.047430828,-0.0050642295,0.047430828
-1.13396698349175e-07,0.014940688,0.047430828,-0.058176879,-0.163167,0.047430828,-0.11067194,-0.26877472,-0.058176879,0.099925891,0.099925891
-1.127963981991e-07,0.014940688,-0.163167,0.047430828,-0.0050642295,-0.163167,0.047430828,0.047430828,-0.0050642295,-0.0050642295,-0.0050642295
-1.12196098049024e-07,0.031573945,0.047430828,0.047430828,-0.058176879,-0.0050642295,-0.0050642295,-0.058176879,-0.058176879,0.047430828,-0.0050642295
-1.11595797898949e-07,0.023208726,-0.0050642295,-0.0050642295,0.047430828,-0.058176879,0.047430828,-0.11067194,-0.11067194,-0.058176879,0.047430828
-1.10995497748874e-07,0.014940688,0.15303853,0.099925891,-0.0050642295,-0.0050642295,-0.11067194,-0.0050642295,0.15303853,0.047430828,0.047430828
-1.10395197598799e-07,0.006672724,-0.163167,0.047430828,-0.11067194,-0.058176879,-0.163167,-0.163167,-0.11067194,0.047430828,0.099925891
-1.09794897448724e-07,0.031573945,-0.0050642295,0.099925891,-0.058176879,-0.11067194,0.047430828,-0.0050642295,-0.163167,-0.163167,-0.11067194
-1.09194597298649e-07,0.014940688,0.047430828,0.099925891,0.047430828,-0.163167,0.047430828,-0.0050642295,-0.0050642295,-0.11067194,-0.11067194
-1.08594297148574e-07,0.014940688,0.15303853,-0.0050642295,0.099925891,-0.11067194,-0.0050642295,0.047430828,-0.058176879,0.099925891,-0.0050642295
-1.07993996998499e-07,0.014940688,0.047430828,-0.0050642295,0.047430828,0.099925891,-0.0050642295,-0.11067194,-0.058176879,-0.058176879,-0.11067194
-1.07393696848424e-07,0.014940688,-0.0050642295,-0.163167,-0.058176879,-0.11067194,0.047430828,-0.11067194,0.047430828,-0.058176879,-0.058176879
-1.06793396698349e-07,0.023208726,-0.0050642295,-0.163167,-0.26877472,-0.0050642295,-0.0050642295,-0.0050642295,-0.058176879,-0.0050642295,0.099925891
-1.06193096548274e-07,0.006672724,0.047430828,-0.058176879,-0.0050642295,-0.0050642295,-0.26877472,-0.058176879,-0.058176879,0.099925891,-0.0050642295
-1.05592796398199e-07,0.014940688,0.15303853,-0.0050642295,0.047430828,-0.058176879,0.047430828,-0.26877472,-0.058176879,-0.11067194,-0.0050642295
-1.04992496248124e-07,0.014940688,-0.11067194,-0.163167,0.047430828,-0.11067194,0.047430828,-0.0050642295,-0.0050642295,0.047430828,0.047430828
-1.04392196098049e-07,-0.001692495,-0.0050642295,0.15303853,-0.11067194,0.047430828,-0.0050642295,0.099925891,-0.0050642295,-0.0050642295,0.047430828
-1.03791895947974e-07,0.006672724,-0.11067194,0.047430828,-0.163167,0.047430828,-0.0050642295,-0.0050642295,-0.058176879,-0.058176879,-0.058176879
-1.03191595797899e-07,0.014940688,-0.163167,0.15303853,-0.058176879,-0.058176879,-0.0050642295,-0.11067194,-0.058176879,-0.163167,-0.058176879
-1.02591295647824e-07,0.031573945,-0.11067194,-0.0050642295,-0.0050642295,-0.0050642295,0.047430828,-0.163167,-0.0050642295,-0.11067194,-0.0050642295
-1.01990995497749e-07,0.014940688,0.047430828,-0.0050642295,-0.058176879,0.047430828,0.047430828,-0.0050642295,-0.163167,-0.0050642295,-0.058176879
-1.01390695347674e-07,0.014940688,-0.0050642295,0.099925891,-0.058176879,-0.11067194,-0.0050642295,-0.11067194,-0.058176879,-0.058176879,0.20553359
-1.00790395197599e-07,0.014940688,-0.0050642295,-0.058176879,-0.0050642295,-0.0050642295,0.047430828,0.047430828,0.047430828,-0.163167,0.20553359
-1.00190095047524e-07,0.014940688,0.047430828,-0.058176879,-0.11067194,0.047430828,-0.11067194,-0.0050642295,-0.11067194,-0.0050642295,-0.0050642295
-9.95897948974487e-08,0.006672724,-0.0050642295,-0.0050642295,0.047430828,0.047430828,-0.11067194,-0.058176879,-0.163167,-0.058176879,0.047430828
-9.89894947473737e-08,-0.009960458,0.047430828,-0.11067194,0.099925891,-0.058176879,-0.11067194,-0.058176879,0.047430828,0.047430828,-0.163167
-9.83891945972986e-08,0.023208726,-0.0050642295,-0.11067194,-0.0050642295,-0.11067194,-0.058176879,-0.11067194,-0.058176879,-0.058176879,-0.11067194
-9.77888944472236e-08,0.006672724,-0.0050642295,-0.26877472,0.047430828,-0.163167,0.047430828,-0.0050642295,-0.058176879,-0.058176879,-0.11067194
-9.71885942971486e-08,0.014940688,-0.163167,-0.058176879,-0.21627964,-0.058176879,-0.11067194,0.047430828,-0.058176879,-0.058176879,-0.058176879
-9.65882941470735e-08,0.031573945,0.047430828,-0.0050642295,0.047430828,-0.11067194,-0.058176879,-0.163167,-0.0050642295,0.047430828,-0.0050642295
-9.59879939969985e-08,0.006672724,0.047430828,-0.11067194,-0.11067194,-0.11067194,-0.0050642295,-0.11067194,-0.0050642295,0.047430828,0.047430828
-9.53876938469234e-08,0.023208726,-0.058176879,-0.058176879,-0.163167,0.047430828,-0.11067194,-0.11067194,-0.0050642295,0.15303853,-0.11067194
-9.47873936968484e-08,0.014940688,-0.0050642295,0.047430828,-0.11067194,-0.11067194,-0.0050642295,-0.058176879,-0.11067194,-0.0050642295,-0.0050642295
-9.41870935467734e-08,0.023208726,0.15303853,0.047430828,-0.0050642295,-0.0050642295,-0.0050642295,-0.163167,-0.11067194,-0.0050642295,-0.0050642295
-9.35867933966983e-08,0.023208726,-0.058176879,0.099925891,0.047430828,-0.0050642295,-0.058176879,-0.058176879,-0.0050642295,-0.163167,-0.11067194
-9.29864932466233e-08,0.006672724,-0.058176879,-0.163167,0.099925891,0.047430828,-0.11067194,-0.058176879,-0.11067194,-0.058176879,-0.058176879
-9.23861930965483e-08,0.031573945,-0.0050642295,0.047430828,0.047430828,-0.11067194,-0.11067194,-0.163167,-0.0050642295,-0.0050642295,0.15303853
-9.17858929464732e-08,0.014940688,-0.058176879,-0.163167,0.047430828,-0.0050642295,-0.058176879,0.15303853,-0.0050642295,0.047430828,-0.163167
-9.11855927963982e-08,0.006672724,-0.0050642295,-0.058176879,-0.0050642295,0.047430828,-0.11067194,-0.163167,-0.11067194,-0.11067194,-0.11067194
-9.05852926463232e-08,0.006672724,-0.0050642295,0.047430828,-0.0050642295,-0.058176879,0.047430828,-0.058176879,-0.11067194,-0.0050642295,-0.163167
-8.99849924962481e-08,0.014940688,-0.0050642295,-0.0050642295,-0.0050642295,-0.163167,-0.0050642295,0.047430828,-0.058176879,-0.0050642295,0.099925891
-8.93846923461731e-08,0.014940688,0.047430828,-0.058176879,-0.11067194,-0.0050642295,-0.0050642295,0.099925891,-0.0050642295,-0.0050642295,0.047430828
-8.8784392196098e-08,0.006672724,0.047430828,-0.0050642295,-0.058176879,0.099925891,0.047430828,-0.058176879,0.099925891,0.047430828,-0.0050642295
-8.8184092046023e-08,0.031573945,-0.163167,-0.21627964,-0.0050642295,-0.0050642295,-0.0050642295,-0.058176879,-0.0050642295,-0.0050642295,-0.0050642295
-8.7583791895948e-08,0.039841908,-0.0050642295,-0.058176879,-0.11067194,0.15303853,-0.163167,-0.058176879,0.047430828,-0.058176879,0.15303853
-8.69834917458729e-08,0.031573945,-0.0050642295,-0.0050642295,-0.0050642295,0.047430828,0.047430828,-0.058176879,-0.11067194,0.099925891,-0.0050642295
-8.63831915957979e-08,0.006672724,-0.0050642295,-0.058176879,-0.058176879,0.099925891,-0.058176879,-0.11067194,-0.0050642295,0.047430828,-0.0050642295
-8.57828914457229e-08,0.031573945,-0.11067194,-0.11067194,-0.0050642295,0.099925891,-0.0050642295,-0.0050642295,-0.11067194,-0.058176879,-0.058176879
-8.51825912956478e-08,0.014940688,-0.11067194,0.047430828,-0.0050642295,-0.0050642295,-0.058176879,0.15303853,-0.0050642295,-0.058176879,-0.11067194
