t,ndyag,d01,d02,d03,d04,d05,d06,d07,d08,d09,d10,d11,d12
-1.20E-07,0.03157394499,0.012450585,-0.0013293,-0.0428313375,-0.0290514,0.012450585,0.026230575,-0.0152714625,-0.0290514,-0.0428313375,-0.0290514,-0.0013293,-0.0152714625
-1.19E-07,0.01494068751,-0.0013293,-0.0290514,-0.0013293,-0.0290514,0.012450585,-0.0290514,0.026230575,-0.0428313375,-0.0290514,-0.0152714625,0.012450585,-0.0290514
-1.19E-07,0.03157394499,-0.0290514,-0.0013293,-0.0428313375,-0.0152714625,-0.0152714625,0.012450585,-0.0428313375,-0.0428313375,0.012450585,-0.0013293,-0.0013293,-0.0152714625
-1.18E-07,0.00667272438,-0.0152714625,-0.0152714625,-0.0013293,-0.0152714625,0.04017258,0.012450585,-0.0013293,0.04017258,-0.0428313375,-0.0013293,0.012450585,-0.0013293
-1.18E-07,0.03984190812,-0.0013293,-0.0152714625,0.026230575,-0.0428313375,-0.0152714625,-0.084333249,0.012450585,0.012450585,0.026230575,-0.056773374,0.012450585,-0.0013293
-1.17E-07,0.00667272438,-0.0428313375,-0.0705533115,-0.0290514,-0.056773374,-0.0152714625,-0.0152714625,-0.0290514,-0.0290514,0.026230575,-0.0290514,-0.0013293,-0.0152714625
-1.16E-07,0.03157394499,-0.0428313375,-0.0152714625,-0.0290514,-0.0152714625,-0.0152714625,-0.0013293,0.012450585,-0.0290514,0.026230575,-0.0013293,-0.0152714625,-0.0428313375
-1.16E-07,0.03157394499,-0.0290514,-0.0152714625,-0.0013293,0.012450585,-0.0152714625,0.012450585,-0.0013293,-0.0152714625,-0.0428313375,-0.0290514,0.026230575,-0.0013293
-1.15E-07,0.03157394499,-0.0290514,-0.0290514,-0.0290514,0.026230575,-0.0290514,-0.0152714625,0.012450585,-0.0152714625,-0.0152714625,-0.0013293,-0.0290514,-0.0705533115
-1.15E-07,0.01494068751,-0.0013293,0.012450585,-0.0428313375,-0.056773374,-0.0290514,0.04017258,0.026230575,-0.0152714625,0.04017258,-0.0152714625,-0.0013293,-0.0428313375
-1.14E-07,0.01494068751,0.026230575,-0.0013293,-0.0013293,-0.0290514,-0.0290514,-0.0152714625,0.012450585,-0.0152714625,-0.0152714625,-0.0013293,-0.0290514,-0.0013293
-1.13E-07,0.02320872561,-0.0013293,-0.0290514,-0.0013293,-0.0428313375,-0.0290514,-0.0428313375,-0.0428313375,0.04017258,0.026230575,-0.0428313375,0.012450585,0.012450585
-1.13E-07,0.01494068751,-0.0428313375,-0.0013293,-0.0013293,-0.0290514,-0.0152714625,0.012450585,-0.0013293,0.012450585,0.04017258,0.04017258,-0.0290514,-0.0152714625
-1.12E-07,0.01494068751,-0.0013293,-0.0013293,-0.0290514,-0.0428313375,-0.0152714625,0.012450585,0.012450585,-0.0013293,-0.0152714625,-0.0152714625,-0.0013293,-0.0152714625
-1.12E-07,0.01494068751,-0.0290514,-0.0152714625,-0.0428313375,-0.0152714625,0.026230575,-0.0013293,-0.0013293,-0.0152714625,-0.0290514,-0.0152714625,-0.0290514,-0.0290514
-1.11E-07,0.02320872561,-0.0290514,-0.0152714625,-0.0013293,-0.0152714625,-0.0152714625,-0.0152714625,-0.0152714625,-0.0013293,-0.0290514,-0.056773374,-0.0013293,-0.0152714625
-1.10E-07,0.01494068751,0.012450585,-0.0013293,0.04017258,0.012450585,0.012450585,-0.0013293,-0.0290514,-0.0428313375,-0.0290514,-0.0428313375,0.012450585,-0.0428313375
-1.10E-07,0.01494068751,-0.0152714625,-0.0152714625,-0.056773374,0.026230575,-0.0290514,-0.0428313375,-0.0290514,-0.0152714625,0.012450585,-0.0152714625,-0.0152714625,0.012450585
-1.09E-07,0.03157394499,-0.0013293,-0.0013293,-0.0428313375,0.012450585,0.012450585,-0.0152714625,-0.0152714625,-0.0290514,0.012450585,-0.0152714625,-0.0152714625,-0.0013293
-1.09E-07,0.02320872561,-0.0428313375,-0.0152714625,-0.0290514,-0.0290514,-0.0290514,-0.0290514,-0.0152714625,-0.0290514,-0.0152714625,-0.0152714625,-0.0152714625,0.026230575
-1.08E-07,0.01494068751,-0.0290514,-0.0290514,-0.0152714625,-0.0290514,-0.0290514,-0.0152714625,-0.0152714625,-0.0290514,-0.0013293,-0.0152714625,-0.0152714625,-0.0013293
-1.07E-07,0.00667272438,-0.0152714625,-0.0013293,0.012450585,-0.0428313375,0.026230575,-0.0428313375,-0.0013293,-0.0013293,-0.0290514,-0.0428313375,0.012450585,-0.0290514
-1.07E-07,0.03157394499,0.026230575,-0.0013293,-0.0013293,-0.0013293,-0.0013293,-0.0428313375,0.012450585,-0.0290514,0.012450585,-0.0290514,0.012450585,0.012450585
-1.06E-07,0.01494068751,-0.0428313375,0.012450585,-0.0152714625,-0.0013293,-0.0428313375,-0.0152714625,-0.0152714625,-0.0152714625,0.026230575,0.026230575,-0.0290514,-0.0152714625
-1.06E-07,0.01494068751,-0.056773374,-0.0013293,-0.0428313375,-0.0013293,-0.0152714625,-0.0013293,-0.0013293,0.012450585,-0.0013293,-0.0013293,-0.0290514,-0.056773374
-1.05E-07,0.01494068751,-0.0152714625,0.026230575,-0.0013293,-0.0428313375,-0.0152714625,-0.0290514,-0.0428313375,-0.0152714625,-0.0152714625,0.026230575,-0.0428313375,-0.0013293
-1.04E-07,0.01494068751,-0.0013293,-0.0290514,-0.0013293,-0.0290514,0.012450585,-0.0290514,0.04017258,-0.0152714625,-0.0013293,-0.0290514,-0.0428313375,-0.0013293
-1.04E-07,0.02320872561,-0.056773374,-0.0013293,-0.0428313375,-0.0152714625,-0.0013293,-0.0152714625,-0.0013293,-0.0152714625,0.026230575,0.012450585,-0.0290514,-0.0152714625
-1.03E-07,0.00667272438,-0.0152714625,-0.0290514,-0.0290514,-0.056773374,-0.0013293,-0.0013293,-0.0013293,0.026230575,0.05395257,-0.0013293,-0.0152714625,-0.0013293
-1.03E-07,0.01494068751,-0.0290514,0.026230575,-0.0013293,-0.0152714625,-0.0152714625,-0.0290514,0.012450585,-0.0152714625,0.012450585,-0.056773374,0.012450585,-0.0152714625
