x,N_e
1,0.2454198331
2,0.24680891
3,0.2857796918
4,0.2899243276
5,0.3112223364
6,0.3218360507
7,0.3244242992
8,0.2871637221
9,0.2539709975
10,0.2343215219
11,0.2746093693
12,0.2888371357
13,0.2655463816
14,0.2471573196
15,0.3016386922
16,0.2838386671
17,0.2940776276
18,0.3126463534
19,0.3431475276
20,0.324822908
21,0.3543197591
22,0.3384940871
23,0.3018747314
24,0.3017424505
25,0.3476726973
26,0.2913823678
27,0.3103254898
28,0.3029378762
29,0.317738255
30,0.2653688628
31,0.288105996
32,0.3329899253
33,0.3699239643
34,0.3224114359
35,0.3119430172
36,0.341415018
37,0.3136304023
38,0.3458944441
39,0.3504762028
40,0.3191792696
41,0.3317033277
42,0.2968459004
43,0.3015554134
44,0.3907954732
45,0.3384285204
46,0.3580447623
47,0.3677623287
48,0.3376202888
49,0.3649825755
50,0.327601281
51,0.371283706
52,0.3607974404
53,0.3303840556
54,0.3664707672
55,0.3142246264
56,0.3713803577
57,0.3528352371
58,0.3471707
59,0.3413680574
60,0.2969224409
61,0.3288999725
62,0.3411846223
63,0.3502660172
64,0.4113567849
65,0.3545324212
66,0.3441208229
67,0.3879988237
68,0.3875790901
69,0.3692445815
70,0.3058949824
71,0.3309350393
72,0.3353857035
73,0.3559302785
74,0.3725683598
75,0.3201850755
76,0.303792848
77,0.2969380746
78,0.3010970428
79,0.3099326337
80,0.3784027975
81,0.4024171318
82,0.3599156148
83,0.4079368278
84,0.437841204
85,0.3546755004
86,0.4057668929
87,0.3932135106
88,0.3939739405
89,0.3758955281
90,0.3822490202
91,0.4250211018
92,0.3622910487
93,0.3438418445
94,0.3264401569
95,0.3430924671
96,0.3687515718
97,0.3637270196
98,0.3816602923
99,0.3062558043
100,0.3168183377
101,0.3817669062
102,0.3496294876
103,0.2797584814
104,0.277208366
105,0.2991256169
106,0.2963576974
107,0.3414173591
108,0.3120953264
109,0.3090495418
110,0.2794866471
111,0.2897533101
112,0.3057748787
113,0.3117737275
114,0.337880967
115,0.309430073
116,0.3215363429
117,0.3056032915
118,0.3200985511
119,0.2989287356
120,0.3724218928
121,0.3083398437
122,0.2977598924
123,0.2774860878
124,0.2636848547
125,0.3138461958
126,0.2848247887
127,0.2387470399
128,0.2753129945
129,0.3383132553
130,0.3179873123
131,0.35316858
132,0.3516948346
133,0.377677174
134,0.3531143677
135,0.3796274435
136,0.3497484434
137,0.361875086
138,0.3972413509
139,0.3510345554
140,0.3379773546
141,0.322882272
142,0.3244925619
143,0.3603042186
144,0.3801057815
145,0.3736296842
146,0.361924762
147,0.3502972468
148,0.3589664982
149,0.3896623993
150,0.4072919694
151,0.35992527
152,0.3167628633
153,0.3267419892
154,0.3314618107
155,0.3657305899
156,0.3832711906
157,0.3327143171
158,0.3811559765
159,0.37649296
160,0.3755294328
161,0.3210650916
162,0.3489435151
163,0.4068237511
164,0.349943071
165,0.3338743391
166,0.3700889205
167,0.3704404124
168,0.340716285
169,0.3062389821
170,0.3389124459
171,0.3612320747
172,0.3879825624
173,0.2996656663
174,0.2954489832
175,0.2793934408
176,0.2802968146
177,0.297491464
178,0.3186207369
179,0.3257493051
180,0.3318714916
181,0.3433089912
182,0.3022219226
183,0.2944555611
184,0.3280908992
185,0.3878877666
186,0.3534053706
187,0.290980375
188,0.3083105214
189,0.2853203496
190,0.3833328604
191,0.353494873
192,0.3834529045
193,0.3120108306
194,0.3580678628
195,0.3992340392
196,0.291876241
197,0.3322761894
198,0.3131042543
199,0.3358634079
200,0.2740360292
201,0.2607611597
202,0.2939484937
203,0.3533599449
204,0.2912491575
205,0.2977612309
206,0.2983625414
207,0.3977458325
208,0.4216269671
209,0.3294068968
210,0.3078786394
211,0.3682562195
212,0.3532354616
213,0.3868087102
214,0.4226182732
215,0.3637685287
216,0.441977294
217,0.357812212
218,0.3089039312
219,0.3991594792
220,0.3182538629
221,0.3230101048
222,0.3254871109
223,0.3922795225
224,0.3493755507
225,0.3949853664
226,0.3657920213
227,0.3971934121
228,0.3292333305
229,0.3050578138
230,0.2904291604
231,0.3501317895
232,0.4221938362
233,0.3702682531
234,0.3013557955
235,0.3506538522
236,0.370810408
237,0.3812339791
238,0.3782740513
239,0.3093181526
240,0.2914965674
241,0.32446089
242,0.3013627514
243,0.33638481
244,0.3764331847
245,0.3695990605
246,0.269610358
247,0.2955498897
248,0.3071430635
249,0.3361800093
250,0.3429450819
251,0.3575552278
252,0.3363573502
253,0.3760601757
254,0.30086592
255,0.3781399619
256,0.374479769
257,0.3660108117
258,0.3765140504
259,0.3304244358
260,0.3230269482
261,0.2808805591
262,0.303172135
263,0.2874923384
264,0.3316033775
265,0.3122172915
266,0.2822925102
267,0.2963381807
268,0.2902455434
269,0.2618793605
270,0.2706878885
271,0.2956324343
272,0.3838931644
273,0.3123001569
274,0.285848501
275,0.2857466552
276,0.3448035873
277,0.3235919177
278,0.2965351098
279,0.3683568185
280,0.3443151847
281,0.3138232983
282,0.3098708122
283,0.2967813181
284,0.3154987983
285,0.3753777942
286,0.4387167023
287,0.3706894427
288,0.3935843866
289,0.3793646335
290,0.3161865612
291,0.4267340666
292,0.351105029
293,0.3983732722
294,0.3825221038
295,0.4119316871
296,0.5169654902
297,0.4282865191
298,0.4625879452
299,0.4062658963
300,0.3787991151
301,0.4053092008
302,0.3441589606
303,0.3753242576
304,0.3308232937
305,0.4319536539
306,0.3139135437
307,0.3357795707
308,0.3605008068
309,0.2988395367
310,0.3201681564
311,0.3113137702
312,0.326783704
313,0.34961542
314,0.3236656781
315,0.3539418239
316,0.2866345158
317,0.3251980278
318,0.3688471802
319,0.3551587745
320,0.3619118317
321,0.3561229113
322,0.3684641666
323,0.3573242198
324,0.3246425451
325,0.30399873
326,0.3666293429
327,0.3178143685
328,0.3065370151
329,0.3506808522
330,0.36392701
331,0.266304714
332,0.2761065887
333,0.2451407694
334,0.262512299
335,0.3465305858
336,0.3105115657
337,0.3208499736
338,0.3813370237
339,0.3126690715
340,0.3871457299
341,0.4060187283
342,0.3536927292
343,0.3531737778
344,0.3913434304
345,0.3387357721
346,0.326878299
347,0.3668570447
348,0.2918578998
349,0.3053629269
350,0.3135287386
351,0.2972512208
352,0.2968767406
353,0.3290303611
